id,name,address,created_at,updated_at,phone,image_url,cross_streets,hood,latitude,longitude,yelp_rating,yelp_id,category,neighborhood_id,rated_at,slug,priority,link,fbpage_id,about,fb_photo
2012,Circle Line Cruises,83 W 42nd St,2015-06-14 14:49:21.460973,2015-10-03 09:11:41.957883,,,,Midtown West,,,,,Dance Clubs,1,2015-10-03 09:11:41.94408,circle-line-cruises,,,,,
1725,Littlefield,622 Degraw St,2015-01-12 01:18:03.276225,2015-06-12 19:16:36.22723,7188553388,http://s3-media3.fl.yelpcdn.com/bphoto/R144HwZlmlq5pYaraXND5w/ms.jpg,,Gowanus,40.679125732352,-73.98350367628,4.0,littlefield-brooklyn,Bars,8,2014-12-12 19:16:36.223678,littlefield,,,,,
1596,The DL,95 Delancy St,2015-01-12 01:18:02.594996,2015-08-28 17:35:17.381787,2122280909,http://s3-media2.fl.yelpcdn.com/bphoto/im3kGg9bUtx-RE8Yd9lEOA/ms.jpg,,Lower East Side,40.7185783,-73.9893799,2.5,the-dl-new-york,Bars,3,2014-12-12 19:00:05.153799,the-dl,,https://www.facebook.com/TheDLNYC,288838924523187,The Hottest Rooftop Lounge & Event Space in the Lower East Side!,https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/p480x480/1975151_641012959305780_1984649020_n.jpg?oh=65e3f57e6b12858aee6a4e216d71afc1&oe=56667D43
1607,East River Amphitheatre,Cherry St and FDR,2015-01-12 01:18:02.648596,2015-08-28 17:35:17.621355,,http://s3-media2.fl.yelpcdn.com/bphoto/PmCrvq660R_LGXFTOcxV3g/ms.jpg,,Lower East Side,40.7123946303456,-73.9780105255917,4.5,east-river-amphitheatre-new-york,Music Venues,3,2014-12-12 19:00:05.173997,east-river-amphitheatre,,https://www.facebook.com/pages/East-River-Amphitheatre/232105640134193,232105640134193,,
1666,Hotel Chantelle,92 Ludlow St,2015-01-12 01:18:02.942532,2015-08-28 17:35:18.469312,2122549100,http://s3-media1.fl.yelpcdn.com/bphoto/VA3Ni-s1fWg1EH_LiuPXNA/ms.jpg,,Lower East Side,40.718384,-73.988953,3.0,hotel-chantelle-new-york,Bars,3,2014-12-12 19:00:05.240943,hotel-chantelle,,https://www.facebook.com/HotelChantelle,137162339672694,Dinner. Brunch. Nightlife.,https://scontent.xx.fbcdn.net/hphotos-xpf1/t31.0-8/s720x720/1781022_850456455009942_7492738607443713773_o.jpg
1760,Muchmore's,2 Havemeyer St,2015-01-12 01:18:03.455015,2015-08-28 19:10:02.495135,7185763222,http://s3-media1.fl.yelpcdn.com/bphoto/Ix48PyvTWs_pVqZ8dnV70g/ms.jpg,,Williamsburg - North Side,40.7164523632333,-73.952944278717,4.5,muchmores-new-york,Music Venues,7,2014-12-12 19:00:04.673913,muchmore's,,https://www.facebook.com/pages/Muchmores/125356810924312,125356810924312,"Muchmore's is a bar, music venue, and coffee shop located in the heart of Williamsburg, Brooklyn. We have events every night, including concerts, stand up, improv, theater, art openings, film, poetry, story telling, debates, performance art, etc. If you'd like to book an event, just message us, and give us some time to respond, as we get a lot of submissions. We're now open during the day as well and serving up coffee and wifi, so if you want to just come hang out and get some work done on your laptop, we have a couch with your name on it.",https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/426066_294602813999710_514069476_n.jpg?oh=322d1f820828ba00890313b98119d5f8&oe=566D7893
1761,The Mulberry Project,149 Mulberry St,2015-01-12 01:18:03.459224,2015-08-28 19:10:02.69778,6464484536,http://s3-media2.fl.yelpcdn.com/bphoto/uodT7fvEKHRfvxq3UqdPEQ/ms.jpg,,Little Italy,40.7190704,-73.9976883,3.5,the-mulberry-project-new-york,Lounges,53,2014-12-12 19:00:04.680015,the-mulberry-project,,https://www.facebook.com/MulberryProject,169215563122524,"Bespoke Cocktail Bar 
",https://scontent.xx.fbcdn.net/hphotos-xap1/t31.0-8/p480x480/10522778_1010037065707032_2698416309372716758_o.jpg
1544,Brooklyn Masonic Temple,317 Clermont Ave,2015-01-12 01:18:02.332159,2015-08-28 19:10:03.114877,7188573885,http://s3-media1.fl.yelpcdn.com/bphoto/jt6NyzeDkxxREOemYylAoQ/ms.jpg,,Fort Greene,40.688129,-73.969528,2.5,brooklyn-masonic-temple-brooklyn,Music Venues,44,2014-12-12 19:00:04.083823,brooklyn-masonic-temple,,https://www.facebook.com/pages/The-Brooklyn-Masonic-Temple/14992271530,14992271530,,
1546,Brooklyn Stable,486 Metropolitan Ave,2015-01-12 01:18:02.341745,2015-08-28 19:10:03.32712,7182187600,http://s3-media2.fl.yelpcdn.com/bphoto/rJbSnXteqn8G2cJDGFNBlg/ms.jpg,,Williamsburg - North Side,40.7140150666237,-73.95262978971,3.5,brooklyn-stable-brooklyn,Lounges,7,2014-12-12 19:00:04.090299,brooklyn-stable,,https://www.facebook.com/pages/Brooklyn-Stables/131799533510115,131799533510115,"Lesson and Training Programs based on the riding, training and horsemanship principles of the North American System of Hunter/Jumper Riding. Specializing in Beginner Lesson Programs in the discipline of Hunter/Jumper Riding with an emphasis on Equitation ",https://scontent.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/582758_527408827282515_349203362_n.jpg?oh=cd29ad79a988089127d48433b3a77200&oe=5663CB8E
1551,Bunga's Den,137 W 14th St,2015-01-12 01:18:02.374304,2015-08-28 19:10:03.54445,2122421040,http://s3-media4.fl.yelpcdn.com/bphoto/6RQWtjRH1QV3YnpIp1LrZw/ms.jpg,,Chelsea,40.7383193969727,-73.9983596801758,3.5,bungas-den-new-york,Dive Bars,11,2014-12-12 19:00:04.105028,bunga's-den,,https://www.facebook.com/BungasDen,123739500995643,"""Always remember that I have taken more out of alcohol than alcohol has taken out of me.""

Sir Winston Churchill

Page  By:
www.villagewebmaster.com",https://scontent.xx.fbcdn.net/hphotos-xft1/v/t1.0-9/s720x720/10014545_841040935932159_7705098582917760639_n.jpg?oh=eb91bd0e87776a05a07e3fe373daaa87&oe=566C1FE4
